customer_id,email,support_tickets,satisfaction_score,retention_months,lifetime_value
1136,customer136@example.com,2,1,29,1735.26
1274,customer274@example.com,3,3,25,579.04
1376,customer376@example.com,1,4,44,90.98
1063,customer63@example.com,3,5,49,2403.46
1400,customer400@example.com,0,2,19,2963.64
1018,customer18@example.com,0,2,42,2853.74
1250,customer250@example.com,1,2,36,1381.1
1240,customer240@example.com,3,4,40,185.32
1163,customer163@example.com,4,3,24,1187.35
1375,customer375@example.com,3,3,35,13.76
1395,customer395@example.com,1,1,15,32.93
1080,customer80@example.com,3,4,1,207.64
1318,customer318@example.com,2,4,22,589.72
1023,customer23@example.com,3,5,18,2024.8
1168,customer168@example.com,3,3,9,2017.86
1322,customer322@example.com,3,4,30,2259.1
1397,customer397@example.com,3,4,38,112.51
1186,customer186@example.com,1,1,31,675.35
1323,customer323@example.com,1,4,12,721.72
1037,customer37@example.com,4,1,31,1896.76
1225,customer225@example.com,2,2,38,4304.13
1195,customer195@example.com,1,2,37,616.8
1052,customer52@example.com,1,2,51,75.44
1356,customer356@example.com,1,5,56,2101.21
1031,customer31@example.com,0,1,52,240.22
1197,customer197@example.com,2,3,21,495.8
1201,customer201@example.com,4,3,31,311.69
1222,customer222@example.com,1,5,27,1034.19
1126,customer126@example.com,1,1,41,4953.8
1283,customer283@example.com,2,3,26,587.32
1014,customer14@example.com,1,4,58,4129.33
1115,customer115@example.com,2,1,53,841.61
1155,customer155@example.com,2,5,35,643.28
1312,customer312@example.com,3,2,52,731.36
1193,customer193@example.com,0,3,45,677.28
1347,customer347@example.com,1,4,57,54.16
1200,customer200@example.com,2,5,11,178.59
1334,customer334@example.com,2,4,25,577.41
1039,customer39@example.com,0,5,49,1039.61
1116,customer116@example.com,2,5,37,570.96
1030,customer30@example.com,2,4,18,248.88
1343,customer343@example.com,0,3,34,2096.61
1345,customer345@example.com,2,4,53,138.21
1083,customer83@example.com,3,2,7,145.79
1011,customer11@example.com,1,4,34,3489.73
1113,customer113@example.com,2,5,54,1019.18
1171,customer171@example.com,2,5,52,1061.95
1290,customer290@example.com,1,1,21,524.07
1160,customer160@example.com,1,4,11,1142.42
1032,customer32@example.com,3,1,25,1393.5
1208,customer208@example.com,1,2,18,66.39
1111,customer111@example.com,6,4,54,2680.61
1227,customer227@example.com,5,2,38,366.63
1329,customer329@example.com,0,5,15,1065.69
1082,customer82@example.com,0,5,3,2037.88
1149,customer149@example.com,3,3,38,695.23
1154,customer154@example.com,1,1,11,433.76
1239,customer239@example.com,2,3,54,1717.62
1396,customer396@example.com,1,2,46,576.33
1393,customer393@example.com,2,2,10,873.32
1335,customer335@example.com,1,5,22,2952.6
1310,customer310@example.com,1,4,48,850.43
1124,customer124@example.com,2,3,24,3397.97
1368,customer368@example.com,1,4,28,1257.45
1067,customer67@example.com,3,2,46,365.01
1022,customer22@example.com,2,2,52,420.53
1015,customer15@example.com,2,5,2,73.42
1122,customer122@example.com,5,1,17,565.62
1354,customer354@example.com,0,5,30,235.62
1372,customer372@example.com,2,4,45,2463.16
1151,customer151@example.com,1,3,24,694.39
1378,customer378@example.com,1,1,51,265.11
1233,customer233@example.com,1,3,1,1405.79
1129,customer129@example.com,2,2,11,345.66
1145,customer145@example.com,1,3,39,2468.52
1097,customer97@example.com,2,2,41,951.1
1010,customer10@example.com,1,5,36,211.0
1104,customer104@example.com,2,4,57,854.68
1328,customer328@example.com,2,3,22,602.15
1260,customer260@example.com,3,4,53,180.24
1112,customer112@example.com,0,2,22,260.58
1278,customer278@example.com,1,5,54,188.98
1391,customer391@example.com,2,1,37,202.63
1317,customer317@example.com,0,3,33,4240.58
1366,customer366@example.com,2,3,41,1517.31
1120,customer120@example.com,3,4,35,851.98
1008,customer8@example.com,0,2,43,192.11
1117,customer117@example.com,3,1,57,3.71
1275,customer275@example.com,1,2,29,1141.19
1300,customer300@example.com,2,3,14,3902.25
1236,customer236@example.com,2,2,18,2437.32
1251,customer251@example.com,1,1,38,79.9
1102,customer102@example.com,2,4,34,1585.28
1054,customer54@example.com,1,1,42,178.8
1244,customer244@example.com,1,4,29,1692.58
1217,customer217@example.com,1,2,2,3983.7
1106,customer106@example.com,2,4,35,1719.53
1297,customer297@example.com,1,1,44,128.26
1182,customer182@example.com,4,4,10,1316.29
1321,customer321@example.com,1,5,30,73.32
1346,customer346@example.com,3,5,6,1591.55
1084,customer84@example.com,3,2,26,167.73
1228,customer228@example.com,1,4,22,324.55
1132,customer132@example.com,2,2,57,3196.24
1206,customer206@example.com,2,3,15,19.28
1339,customer339@example.com,4,2,42,1388.47
1174,customer174@example.com,1,5,19,313.6
1041,customer41@example.com,2,5,42,988.94
1062,customer62@example.com,2,5,28,1106.45
1331,customer331@example.com,2,2,16,1210.94
1128,customer128@example.com,2,2,49,2032.25
1210,customer210@example.com,1,2,27,1270.47
1161,customer161@example.com,1,5,58,2463.25
1110,customer110@example.com,3,3,23,609.74
1279,customer279@example.com,2,2,53,360.1
1215,customer215@example.com,0,4,2,1918.19
1296,customer296@example.com,2,3,42,4171.82
1259,customer259@example.com,2,3,18,3376.6
1190,customer190@example.com,1,3,57,1264.29
1131,customer131@example.com,4,2,37,285.4
1021,customer21@example.com,4,3,48,330.29
1196,customer196@example.com,1,3,16,2115.22
1385,customer385@example.com,2,2,38,1952.91
1198,customer198@example.com,4,5,3,1002.63
1130,customer130@example.com,2,1,21,1859.09
1065,customer65@example.com,1,4,36,84.11
1100,customer100@example.com,3,4,2,224.28
1048,customer48@example.com,4,1,2,771.28
1005,customer5@example.com,2,4,31,698.42
1365,customer365@example.com,2,2,39,914.69
1017,customer17@example.com,5,1,2,1450.48
1311,customer311@example.com,1,3,33,769.0
1388,customer388@example.com,2,1,51,1030.19
1180,customer180@example.com,2,1,47,127.21
1093,customer93@example.com,2,1,8,735.81
1213,customer213@example.com,3,2,39,3299.38
1099,customer99@example.com,2,4,9,107.46
1045,customer45@example.com,0,2,13,3239.83
1050,customer50@example.com,2,5,22,385.75
1237,customer237@example.com,3,5,55,557.82
1256,customer256@example.com,1,5,14,870.65
1123,customer123@example.com,0,5,17,643.49
1285,customer285@example.com,1,5,20,878.02
