customer_id,email,email_opens,click_rate,social_engagement,ad_spend
1178,customer178@example.com,16,0.303,85,50.62
1259,customer259@example.com,11,0.103,7,2.13
1358,customer358@example.com,5,0.093,14,142.64
1136,customer136@example.com,13,0.741,9,1.06
1377,customer377@example.com,8,0.046,67,74.5
1044,customer44@example.com,11,0.122,52,126.47
1184,customer184@example.com,10,0.4,77,28.94
1151,customer151@example.com,7,0.311,31,19.06
1203,customer203@example.com,14,0.495,45,65.19
1387,customer387@example.com,13,0.445,28,65.09
1360,customer360@example.com,10,0.281,2,17.66
1063,customer63@example.com,11,0.236,57,0.47
1008,customer8@example.com,7,0.509,45,47.85
1045,customer45@example.com,7,0.193,53,89.39
1212,customer212@example.com,10,0.312,98,7.41
1325,customer325@example.com,12,0.24,70,32.79
1349,customer349@example.com,11,0.303,33,45.74
1058,customer58@example.com,11,0.612,75,76.83
1053,customer53@example.com,10,0.28,91,66.53
1172,customer172@example.com,11,0.386,77,68.76
1361,customer361@example.com,7,0.23,50,141.24
1080,customer80@example.com,7,0.402,69,49.87
1335,customer335@example.com,7,0.394,23,2.94
1138,customer138@example.com,8,0.34,53,28.01
1016,customer16@example.com,14,0.306,56,21.23
1269,customer269@example.com,8,0.262,87,41.07
1125,customer125@example.com,16,0.089,81,7.83
1132,customer132@example.com,12,0.157,60,6.06
1342,customer342@example.com,6,0.411,60,12.9
1036,customer36@example.com,9,0.19,97,33.15
1290,customer290@example.com,10,0.196,59,22.0
1333,customer333@example.com,10,0.2,14,11.46
1004,customer4@example.com,14,0.315,24,4.94
1391,customer391@example.com,8,0.51,49,4.9
1174,customer174@example.com,9,0.542,8,25.21
1376,customer376@example.com,15,0.436,2,22.56
1316,customer316@example.com,15,0.599,31,53.11
1105,customer105@example.com,6,0.147,45,19.26
1225,customer225@example.com,6,0.411,19,110.48
1347,customer347@example.com,7,0.189,10,115.78
1046,customer46@example.com,11,0.442,20,5.99
1126,customer126@example.com,5,0.413,74,52.66
1153,customer153@example.com,11,0.164,83,67.22
1098,customer98@example.com,5,0.455,62,20.8
1302,customer302@example.com,14,0.192,13,116.97
1371,customer371@example.com,7,0.358,97,29.62
1222,customer222@example.com,10,0.456,25,169.43
1017,customer17@example.com,6,0.207,44,164.59
1314,customer314@example.com,12,0.331,37,6.41
1230,customer230@example.com,4,0.394,52,17.64
1231,customer231@example.com,8,0.258,54,37.89
1243,customer243@example.com,14,0.425,20,3.29
1356,customer356@example.com,5,0.116,64,1.27
1229,customer229@example.com,12,0.476,51,29.29
1378,customer378@example.com,11,0.353,27,13.34
1288,customer288@example.com,8,0.295,60,31.98
1307,customer307@example.com,3,0.385,83,11.6
